N,T,T_N,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,hub_recovery_mean,hub_recovery_std,kendall_tau_mean,kendall_tau_std,n_trials,dgp,preprocessing,method
30,30,1.0,0.06915968765996569,0.01510672690149403,0.3071111111111111,0.06750436657115479,0.11288180578159969,0.024650744842881964,0.19,0.1682260384126072,0.05232552683355097,0.14076468921649496,100,garch_factor,raw,ols
30,60,2.0,0.08145502943049593,0.014744650387963673,0.3706666666666667,0.06724783717665773,0.13355056254536907,0.02415969200600267,0.21,0.14247806848775008,0.10032321117288717,0.1407821148533319,100,garch_factor,raw,ols
30,100,3.3333333333333335,0.09379525639549355,0.014055413760459122,0.43311111111111117,0.06351785983893442,0.15418984273633574,0.022992234897592223,0.20199999999999999,0.16851112722903497,0.09138429976026925,0.1550939339607237,100,garch_factor,raw,ols
30,250,8.333333333333334,0.1257431413601258,0.017332243896920837,0.5933333333333333,0.08101211614914748,0.20750697190308215,0.028544898039529608,0.22599999999999998,0.15660140484682764,0.15020794007582883,0.13355880268505368,100,garch_factor,raw,ols
50,50,1.0,0.07637209658523886,0.00881058119136545,0.34944,0.041505739362165325,0.12533730137245078,0.0144928997583129,0.13999999999999999,0.14832396974191325,0.06942185340525713,0.1112961927968916,100,garch_factor,raw,ols
50,120,2.4,0.10033654639897094,0.010502490870874919,0.47176,0.04816578038400291,0.16547538846262796,0.01723274500771216,0.15,0.1396424004376894,0.1114768559556845,0.09871406641123476,100,garch_factor,raw,ols
50,250,5.0,0.11844742642279792,0.009195233431463602,0.56648,0.043988289350689685,0.19592639173291865,0.015203124232672682,0.14199999999999996,0.15308820986607688,0.17126645814904573,0.10691393465913056,100,garch_factor,raw,ols
50,500,10.0,0.12575352017915953,0.009115142800111713,0.6073599999999998,0.043298849869251727,0.2083644177496867,0.015055466827790383,0.16599999999999998,0.17217433025860737,0.19377385397245184,0.12664102498338364,100,garch_factor,raw,ols
100,100,1.0,0.09346217493394099,0.004820725655153661,0.4431600000000001,0.023510304123936804,0.1543663021091232,0.007984617628753084,0.068,0.09887365675446622,0.10855870473005202,0.07408622077111601,100,garch_factor,raw,ols
100,60,0.6,0.07916889663890321,0.004566577278228244,0.3696799999999999,0.021297361338907698,0.13040504241231154,0.007477436652312923,0.068,0.11391224692718514,0.0903301389673089,0.07514619130972185,100,garch_factor,raw,ols
100,250,2.5,0.11343701776644162,0.006308757806597612,0.548,0.029881097704067015,0.18796420731452382,0.010412117034651244,0.08399999999999999,0.12705904139414873,0.15482638109249522,0.07464018533936391,100,garch_factor,raw,ols
100,500,5.0,0.1152620108742207,0.009180751708384845,0.5632,0.04448460407826509,0.19136018928498852,0.01521640263909721,0.08,0.12961481396815722,0.14173715043470128,0.08042781943035784,100,garch_factor,raw,ols
100,1000,10.0,0.10831273742326228,0.010120054039227569,0.53288,0.04929934685165717,0.18003205593507907,0.016792160930635576,0.06000000000000001,0.1077032961426901,0.05156844045137203,0.08750182513509826,100,garch_factor,raw,ols
